388, The Devil's Own , 111, Color, English, English, R, 86000000, 1997, 6.1, 2.35, http://www.imdb.com/title/tt0118972/?ref_=fn_tt_tt_1
400, Air Force One , 124, Color, English, English, R, 85000000, 1997, 6.4, 2.35, http://www.imdb.com/title/tt0118571/?ref_=fn_tt_tt_1
472, Six Days Seven Nights , 98, Color, English, English, PG-13, 70000000, 1998, 5.7, 2.35, http://www.imdb.com/title/tt0120828/?ref_=fn_tt_tt_1
446, Deep Impact , 120, Color, English, English, PG-13, 75000000, 1998, 6.1, 2.35, http://www.imdb.com/title/tt0120647/?ref_=fn_tt_tt_1
476, Lost in Space , 130, Color, English, English, PG-13, 80000000, 1998, 5.1, 2.35, http://www.imdb.com/title/tt0120738/?ref_=fn_tt_tt_1
483, Mighty Joe Young , 114, Color, English, English, PG, 90000000, 1998, 5.6, 1.85, http://www.imdb.com/title/tt0120751/?ref_=fn_tt_tt_1
486, What Dreams May Come , 113, Color, English, English, PG-13, 85000000, 1998, 7.0, 2.35, http://www.imdb.com/title/tt0120889/?ref_=fn_tt_tt_1
363, Mulan , 88, Color, English, English, G, 90000000, 1998, 7.5, 1.66, http://www.imdb.com/title/tt0120762/?ref_=fn_tt_tt_1
167, Lethal Weapon 4 , 127, Color, English, English, R, 140000000, 1998, 6.6, 2.35, http://www.imdb.com/title/tt0122151/?ref_=fn_tt_tt_1
152, Armageddon , 153, Color, English, English, PG-13, 140000000, 1998, 6.6, 2.35, http://www.imdb.com/title/tt0120591/?ref_=fn_tt_tt_1
410, Enemy of the State , 140, Color, English, English, R, 90000000, 1998, 7.3, 2.35, http://www.imdb.com/title/tt0120660/?ref_=fn_tt_tt_1
421, Meet Joe Black , 178, Color, English, English, PG-13, 90000000, 1998, 7.1, 1.85, http://www.imdb.com/title/tt0119643/?ref_=fn_tt_tt_1
466, The Haunting , 113, Color, English, English, PG-13, 80000000, 1999, 4.9, 2.35, http://www.imdb.com/title/tt0171363/?ref_=fn_tt_tt_1
277, Stuart Little , 84, Color, English, English, PG, 133000000, 1999, 5.9, 1.85, http://www.imdb.com/title/tt0164912/?ref_=fn_tt_tt_1
72, Wild Wild West , 106, Color, English, English, PG-13, 170000000, 1999, 4.8, 1.85, http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1
241, Star Wars: Episode I - The Phantom Menace , 136, Color, English, English, PG, 115000000, 1999, 6.5, 2.35, http://www.imdb.com/title/tt0120915/?ref_=fn_tt_tt_1
216, The 13th Warrior , 102, Color, English, English, R, 85000000, 1999, 6.6, 2.35, http://www.imdb.com/title/tt0120657/?ref_=fn_tt_tt_1
481, Fantasia 2000 , 74, Color, English, English, G, 80000000, 1999, 7.3, 1.78, http://www.imdb.com/title/tt0120910/?ref_=fn_tt_tt_1
307, End of Days , 121, Color, English, English, R, 83000000, 1999, 5.7, 2.35, http://www.imdb.com/title/tt0146675/?ref_=fn_tt_tt_1
173, The World Is Not Enough , 128, Color, English, English, PG-13, 135000000, 1999, 6.4, 2.35, http://www.imdb.com/title/tt0143145/?ref_=fn_tt_tt_1
386, Bicentennial Man , 132, Color, English, English, PG, 100000000, 1999, 6.8, 1.85, http://www.imdb.com/title/tt0182789/?ref_=fn_tt_tt_1
354, Toy Story 2 , 82, Color, English, English, G, 90000000, 1999, 7.9, 1.85, http://www.imdb.com/title/tt0120363/?ref_=fn_tt_tt_1
496, Battlefield Earth , 119, Color, English, English, PG-13, 44000000, 2000, 2.4, 2.35, http://www.imdb.com/title/tt0185183/?ref_=fn_tt_tt_1
493, Thirteen Days , 145, Color, English, English, PG-13, 80000000, 2000, 7.3, 1.85, http://www.imdb.com/title/tt0146309/?ref_=fn_tt_tt_1
199, Dinosaur , 82, Color, English, English, PG, 127500000, 2000, 6.5, 1.85, http://www.imdb.com/title/tt0130623/?ref_=fn_tt_tt_1
222, The Perfect Storm , 130, Color, English, English, PG-13, 140000000, 2000, 6.4, 2.35, http://www.imdb.com/title/tt0177971/?ref_=fn_tt_tt_1
221, Mission: Impossible II , 123, Color, English, English, PG-13, 125000000, 2000, 6.1, 2.35, http://www.imdb.com/title/tt0120755/?ref_=fn_tt_tt_1
357, What Lies Beneath , 130, Color, English, English, PG-13, 100000000, 2000, 6.6, 2.35, http://www.imdb.com/title/tt0161081/?ref_=fn_tt_tt_1
335, The Road to El Dorado , 89, Color, English, English, PG, 95000000, 2000, 6.9, 1.85, http://www.imdb.com/title/tt0138749/?ref_=fn_tt_tt_1
427, Nutty Professor II: The Klumps , 109, Color, English, English, PG-13, 65000000, 2000, 4.3, 1.85, http://www.imdb.com/title/tt0144528/?ref_=fn_tt_tt_1
361, Charlie's Angels , 94, Color, English, English, PG-13, 92000000, 2000, 5.5, 2.35, http://www.imdb.com/title/tt0160127/?ref_=fn_tt_tt_1
219, How the Grinch Stole Christmas , 110, Color, English, English, PG, 123000000, 2000, 6.0, 1.85, http://www.imdb.com/title/tt0170016/?ref_=fn_tt_tt_1
407, 102 Dalmatians , 100, Color, English, English, G, 85000000, 2000, 4.8, 1.85, http://www.imdb.com/title/tt0211181/?ref_=fn_tt_tt_1
487, Little Nicky , 90, Color, English, English, PG-13, 80000000, 2000, 5.3, 1.85, http://www.imdb.com/title/tt0185431/?ref_=fn_tt_tt_1
283, Gone in Sixty Seconds , 127, Color, English, English, PG-13, 90000000, 2000, 6.5, 2.35, http://www.imdb.com/title/tt0187078/?ref_=fn_tt_tt_1
254, The Patriot , 142, Color, English, English, R, 110000000, 2000, 7.1, 2.35, http://www.imdb.com/title/tt0187393/?ref_=fn_tt_tt_1
377, Hollow Man , 119, Color, English, English, R, 95000000, 2000, 5.7, 1.85, http://www.imdb.com/title/tt0164052/?ref_=fn_tt_tt_1
436, The 6th Day , 123, Color, English, English, PG-13, 82000000, 2000, 5.9, 2.35, http://www.imdb.com/title/tt0216216/?ref_=fn_tt_tt_1
284, Gladiator , 171, Color, English, English, R, 103000000, 2000, 8.5, 2.35, http://www.imdb.com/title/tt0172495/?ref_=fn_tt_tt_1
384, Mission to Mars , 114, Color, English, English, PG, 90000000, 2000, 5.6, 2.35, http://www.imdb.com/title/tt0183523/?ref_=fn_tt_tt_1
397, Cast Away , 143, Color, English, English, PG-13, 90000000, 2000, 7.7, 1.85, http://www.imdb.com/title/tt0162222/?ref_=fn_tt_tt_1
299, The Emperor's New Groove , 78, Color, English, English, G, 100000000, 2000, 7.3, 1.66, http://www.imdb.com/title/tt0120917/?ref_=fn_tt_tt_1
356, Rush Hour 2 , 90, Color, English, English, PG-13, 90000000, 2001, 6.6, 2.35, http://www.imdb.com/title/tt0266915/?ref_=fn_tt_tt_1
271, The Lord of the Rings: The Fellowship of the Ring , 171, Color, English, English, PG-13, 93000000, 2001, 8.8, 2.35, http://www.imdb.com/title/tt0120737/?ref_=fn_tt_tt_1
273, Ali , 165,  Black and White, English, English, R, 107000000, 2001, 6.8, 2.35, http://www.imdb.com/title/tt0248667/?ref_=fn_tt_tt_1
331, Black Hawk Down , 152, Color, English, English, R, 92000000, 2001, 7.7, 2.35, http://www.imdb.com/title/tt0265086/?ref_=fn_tt_tt_1
415, Enemy at the Gates , 131, Color, English, English, R, 68000000, 2001, 7.6, 2.35, http://www.imdb.com/title/tt0215750/?ref_=fn_tt_tt_1
112, Pearl Harbor , 184,  Black and White, English, English, PG-13, 140000000, 2001, 6.1, 2.35, http://www.imdb.com/title/tt0213149/?ref_=fn_tt_tt_1
171, Final Fantasy: The Spirits Within , 106, Color, English, English, PG-13, 137000000, 2001, 6.4, 1.85, http://www.imdb.com/title/tt0173840/?ref_=fn_tt_tt_1
326, The Mummy Returns , 130, Color, English, English, PG-13, 98000000, 2001, 6.3, 2.35, http://www.imdb.com/title/tt0209163/?ref_=fn_tt_tt_1
288, Planet of the Apes , 119, Color, English, English, PG-13, 100000000, 2001, 5.7, 2.35, http://www.imdb.com/title/tt0133152/?ref_=fn_tt_tt_1
203, Harry Potter and the Sorcerer's Stone , 159, Color, English, English, PG, 125000000, 2001, 7.5, 2.35, http://www.imdb.com/title/tt0241527/?ref_=fn_tt_tt_1
383, Spy Game , 114, Color, English, English, R, 92000000, 2001, 7.0, 2.35, http://www.imdb.com/title/tt0266987/?ref_=fn_tt_tt_1
343, Lara Croft: Tomb Raider , 100, Color, English, English, PG-13, 115000000, 2001, 5.7, 2.35, http://www.imdb.com/title/tt0146316/?ref_=fn_tt_tt_1
282, Town & Country , 104, Color, English, English, R, 90000000, 2001, 4.4, 1.85, http://www.imdb.com/title/tt0141907/?ref_=fn_tt_tt_1
345, Jurassic Park III , 92, Color, English, English, PG-13, 93000000, 2001, 5.9, 1.85, http://www.imdb.com/title/tt0163025/?ref_=fn_tt_tt_1
239, "Monsters Inc. ", 92, Color, English, English, G, 115000000, 2001, 8.1, 1.85, http://www.imdb.com/title/tt0198781/?ref_=fn_tt_tt_1
401, Ocean's Eleven , 116, Color, English, English, PG-13, 85000000, 2001, 7.8, 2.35, http://www.imdb.com/title/tt0240772/?ref_=fn_tt_tt_1
484, Swordfish , 99, Color, English, English, R, 80000000, 2001, 6.5, 2.35, http://www.imdb.com/title/tt0244244/?ref_=fn_tt_tt_1
101, The Fast and the Furious , 106, Color, English, English, PG-13, 38000000, 2001, 6.7, 2.35, http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1
369, Atlantis: The Lost Empire , 95, Color, English, English, PG, 120000000, 2001, 6.8, 2.35, http://www.imdb.com/title/tt0230011/?ref_=fn_tt_tt_1
374, A.I. Artificial Intelligence , 146, Color, English, English, PG-13, 100000000, 2001, 7.1, 1.85, http://www.imdb.com/title/tt0212720/?ref_=fn_tt_tt_1
396, The Fast and the Furious , 106, Color, English, English, PG-13, 38000000, 2001, 6.7, 2.35, http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1
482, The Time Machine , 96, Color, English, English, PG-13, 80000000, 2002, 5.9, 2.35, http://www.imdb.com/title/tt0268695/?ref_=fn_tt_tt_1
474, Spirit: Stallion of the Cimarron , 83, Color, English, English, G, 80000000, 2002, 7.0, 2.35, http://www.imdb.com/title/tt0166813/?ref_=fn_tt_tt_1
150, Die Another Day , 133,  Black and White, English, English, PG-13, 142000000, 2002, 6.1, 2.35, http://www.imdb.com/title/tt0246460/?ref_=fn_tt_tt_1
285, Minority Report , 145, Color, English, English, PG-13, 102000000, 2002, 7.7, 2.35, http://www.imdb.com/title/tt0181689/?ref_=fn_tt_tt_1
458, Road to Perdition , 117, Color, English, English, R, 80000000, 2002, 7.7, 2.35, http://www.imdb.com/title/tt0257044/?ref_=fn_tt_tt_1
428, Scooby-Doo , 86, Color, English, English, PG, 84000000, 2002, 4.9, 1.85, http://www.imdb.com/title/tt0267913/?ref_=fn_tt_tt_1
153, Men in Black II , 88, Color, English, English, PG-13, 140000000, 2002, 6.1, 1.85, http://www.imdb.com/title/tt0120912/?ref_=fn_tt_tt_1
244, Windtalkers , 153, Color, English, English, R, 115000000, 2002, 6.0, 2.35, http://www.imdb.com/title/tt0245562/?ref_=fn_tt_tt_1
389, K-19: The Widowmaker , 138, Color, English, English, PG-13, 100000000, 2002, 6.7, 2.35, http://www.imdb.com/title/tt0267626/?ref_=fn_tt_tt_1
327, Gangs of New York , 216, Color, English, English, R, 100000000, 2002, 7.5, 2.35, http://www.imdb.com/title/tt0217505/?ref_=fn_tt_tt_1
286, Harry Potter and the Chamber of Secrets , 174, Color, English, English, PG, 100000000, 2002, 7.4, 2.35, http://www.imdb.com/title/tt0295297/?ref_=fn_tt_tt_1
341, The Lord of the Rings: The Two Towers , 172, Color, English, English, PG-13, 94000000, 2002, 8.7, 2.35, http://www.imdb.com/title/tt0167261/?ref_=fn_tt_tt_1
444, Lilo & Stitch , 85, Color, English, English, PG, 80000000, 2002, 7.2, 1.66, http://www.imdb.com/title/tt0275847/?ref_=fn_tt_tt_1
229, Stuart Little 2 , 77, Color, English, English, PG, 120000000, 2002, 5.4, 1.85, http://www.imdb.com/title/tt0243585/?ref_=fn_tt_tt_1
238, Star Wars: Episode II - Attack of the Clones , 142, Color, English, English, PG, 115000000, 2002, 6.7, 1.78, http://www.imdb.com/title/tt0121765/?ref_=fn_tt_tt_1
162, Spider-Man , 121, Color, English, English, PG-13, 139000000, 2002, 7.3, 1.85, http://www.imdb.com/title/tt0145487/?ref_=fn_tt_tt_1
322, The Adventures of Pluto Nash , 95, Color, English, English, PG-13, 100000000, 2002, 3.8, 1.85, http://www.imdb.com/title/tt0180052/?ref_=fn_tt_tt_1
422, Collateral Damage , 108, Color, English, English, R, 85000000, 2002, 5.5, 1.85, http://www.imdb.com/title/tt0233469/?ref_=fn_tt_tt_1
316, Treasure Planet , 95, Color, English, English, PG, 140000000, 2002, 7.1, 1.5, http://www.imdb.com/title/tt0133240/?ref_=fn_tt_tt_1
168, Hulk , 138, Color, English, English, PG-13, 137000000, 2003, 5.7, 1.85, http://www.imdb.com/title/tt0286716/?ref_=fn_tt_tt_1
125, The Matrix Revolutions , 129, Color, English, English, R, 150000000, 2003, 6.7, 2.35, http://www.imdb.com/title/tt0242653/?ref_=fn_tt_tt_1
174, Master and Commander: The Far Side of the World , 138, Color, English, English, PG-13, 150000000, 2003, 7.4, 2.35, http://www.imdb.com/title/tt0311113/?ref_=fn_tt_tt_1
127, The Matrix Reloaded , 138, Color, English, English, R, 150000000, 2003, 7.2, 2.35, http://www.imdb.com/title/tt0234215/?ref_=fn_tt_tt_1
375, The Haunted Mansion , 88, Color, English, English, PG, 90000000, 2003, 4.9, 2.35, http://www.imdb.com/title/tt0338094/?ref_=fn_tt_tt_1
380, Lara Croft Tomb Raider: The Cradle of Life , 117, Color, English, English, PG-13, 95000000, 2003, 5.5, 2.35, http://www.imdb.com/title/tt0325703/?ref_=fn_tt_tt_1
95, Terminator 3: Rise of the Machines , 109, Color, English, English, R, 200000000, 2003, 6.4, 2.35, http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1
394, Seabiscuit , 140,  Black and White, English, English, PG-13, 87000000, 2003, 7.3, 2.35, http://www.imdb.com/title/tt0329575/?ref_=fn_tt_tt_1
340, The Lord of the Rings: The Return of the King , 192, Color, English, English, PG-13, 94000000, 2003, 8.9, 2.35, http://www.imdb.com/title/tt0167260/?ref_=fn_tt_tt_1
339, Finding Nemo , 100, Color, English, English, G, 94000000, 2003, 8.2, 1.85, http://www.imdb.com/title/tt0266543/?ref_=fn_tt_tt_1
274, The Cat in the Hat , 82, Color, English, English, PG, 109000000, 2003, 3.8, 1.85, http://www.imdb.com/title/tt0312528/?ref_=fn_tt_tt_1
191, Bad Boys II , 147, Color, English, English, R, 130000000, 2003, 6.6, 2.35, http://www.imdb.com/title/tt0172156/?ref_=fn_tt_tt_1
416, The Rundown , 104, Color, English, English, PG-13, 85000000, 2003, 6.7, 2.35, http://www.imdb.com/title/tt0327850/?ref_=fn_tt_tt_1
426, The Core , 135, Color, English, English, PG-13, 60000000, 2003, 5.4, 2.35, http://www.imdb.com/title/tt0298814/?ref_=fn_tt_tt_1
437, Bruce Almighty , 101, Color, English, English, PG-13, 81000000, 2003, 6.7, 1.85, http://www.imdb.com/title/tt0315327/?ref_=fn_tt_tt_1
206, Pirates of the Caribbean: The Curse of the Black Pearl , 143, Color, English, English, PG-13, 140000000, 2003, 8.1, 2.35, http://www.imdb.com/title/tt0325980/?ref_=fn_tt_tt_1
452, Something's Gotta Give , 128, Color, English, English, PG-13, 80000000, 2003, 6.7, 1.85, http://www.imdb.com/title/tt0337741/?ref_=fn_tt_tt_1
463, Cold Mountain , 154, Color, English, English, R, 79000000, 2003, 7.2, 2.35, http://www.imdb.com/title/tt0159365/?ref_=fn_tt_tt_1
211, X-Men 2 , 134, Color, English, English, PG-13, 110000000, 2003, 7.5, 2.35, http://www.imdb.com/title/tt0290334/?ref_=fn_tt_tt_1
497, Looney Tunes: Back in Action , 91, Color, English, English, PG, 80000000, 2003, 5.7, 2.35, http://www.imdb.com/title/tt0318155/?ref_=fn_tt_tt_1
499, Timeline , 116, Color, English, English, PG-13, 80000000, 2003, 5.6, 2.35, http://www.imdb.com/title/tt0300556/?ref_=fn_tt_tt_1
159, The Last Samurai , 154, Color, English, English, R, 140000000, 2003, 7.7, 2.35, http://www.imdb.com/title/tt0325710/?ref_=fn_tt_tt_1
227, Charlie's Angels: Full Throttle , 107, Color, English, English, PG-13, 120000000, 2003, 4.8, 2.35, http://www.imdb.com/title/tt0305357/?ref_=fn_tt_tt_1
231, The Chronicles of Riddick , 134, Color, English, English, PG-13, 105000000, 2004, 6.7, 2.35, http://www.imdb.com/title/tt0296572/?ref_=fn_tt_tt_1
148, Troy , 196, Color, English, English, R, 175000000, 2004, 7.2, 2.35, http://www.imdb.com/title/tt0332452/?ref_=fn_tt_tt_1
314, Catwoman , 87, Color, English, English, PG-13, 100000000, 2004, 3.3, 2.35, http://www.imdb.com/title/tt0327554/?ref_=fn_tt_tt_1
220, The Day After Tomorrow , 124, Color, English, English, PG-13, 125000000, 2004, 6.4, 2.35, http://www.imdb.com/title/tt0319262/?ref_=fn_tt_tt_1
275, "I Robot ", 115, Color, English, English, PG-13, 120000000, 2004, 7.1, 2.35, http://www.imdb.com/title/tt0343818/?ref_=fn_tt_tt_1
399, The Bourne Supremacy , 108, Color, English, English, PG-13, 75000000, 2004, 7.8, 2.35, http://www.imdb.com/title/tt0372183/?ref_=fn_tt_tt_1
330, The Stepford Wives , 93, Color, English, English, PG-13, 90000000, 2004, 5.2, 1.85, http://www.imdb.com/title/tt0327162/?ref_=fn_tt_tt_1
272, Around the World in 80 Days , 120, Color, English, English, PG, 110000000, 2004, 5.8, 2.35, http://www.imdb.com/title/tt0327437/?ref_=fn_tt_tt_1
349, The Alamo , 137, Color, English, English, PG-13, 107000000, 2004, 6.0, 2.35, http://www.imdb.com/title/tt0318974/?ref_=fn_tt_tt_1
477, The Manchurian Candidate , 129, Color, English, English, R, 80000000, 2004, 6.6, 1.85, http://www.imdb.com/title/tt0368008/?ref_=fn_tt_tt_1
350, The Incredibles , 115, Color, English, English, PG, 92000000, 2004, 8.0, 2.35, http://www.imdb.com/title/tt0317705/?ref_=fn_tt_tt_1
92, The Polar Express , 100, Color, English, English, G, 165000000, 2004, 6.6, 2.35, http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1
196, Harry Potter and the Prisoner of Azkaban , 142, Color, English, English, PG, 130000000, 2004, 7.8, 2.35, http://www.imdb.com/title/tt0304141/?ref_=fn_tt_tt_1
264, Home on the Range , 76, Color, English, English, PG, 110000000, 2004, 5.4, 1.78, http://www.imdb.com/title/tt0299172/?ref_=fn_tt_tt_1
301, National Treasure , 131, Color, English, English, PG, 100000000, 2004, 6.9, 2.35, http://www.imdb.com/title/tt0368891/?ref_=fn_tt_tt_1
32, Spider-Man 2 , 135, Color, English, English, PG-13, 200000000, 2004, 7.3, 2.35, http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1
258, The Aviator , 170,  Black and White, English, English, PG-13, 110000000, 2004, 7.5, 2.35, http://www.imdb.com/title/tt0338751/?ref_=fn_tt_tt_1
255, Ocean's Twelve , 125, Color, English, English, PG-13, 110000000, 2004, 6.4, 2.35, http://www.imdb.com/title/tt0349903/?ref_=fn_tt_tt_1
114, Alexander , 206, Color, English, English, R, 155000000, 2004, 5.5, 2.35, http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1
280, "10 000 B.C.             ", 22, No Color, No language, No Country, No Content rating, 0, 2004, 7.2, 0.0, http://www.imdb.com/title/tt1869849/?ref_=fn_tt_tt_1
448, The Longest Yard , 113, Color, English, English, PG-13, 82000000, 2005, 6.4, 2.35, http://www.imdb.com/title/tt0398165/?ref_=fn_tt_tt_1
165, Stealth , 121, Color, English, English, PG-13, 135000000, 2005, 5.0, 2.35, http://www.imdb.com/title/tt0382992/?ref_=fn_tt_tt_1
455, Robots , 91, Color, English, English, PG, 75000000, 2005, 6.3, 1.85, http://www.imdb.com/title/tt0358082/?ref_=fn_tt_tt_1
170, Sahara , 124, Color, English, English, PG-13, 130000000, 2005, 6.0, 2.35, http://www.imdb.com/title/tt0318649/?ref_=fn_tt_tt_1
256, Mr. & Mrs. Smith , 126, Color, English, English, PG-13, 120000000, 2005, 6.5, 2.35, http://www.imdb.com/title/tt0356910/?ref_=fn_tt_tt_1
119, Charlie and the Chocolate Factory , 115, Color, English, English, PG, 150000000, 2005, 6.7, 1.85, http://www.imdb.com/title/tt0367594/?ref_=fn_tt_tt_1
26, King Kong , 201, Color, English, English, PG-13, 207000000, 2005, 7.2, 2.35, http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1
121, Batman Begins , 128, Color, English, English, PG-13, 150000000, 2005, 8.3, 2.35, http://www.imdb.com/title/tt0372784/?ref_=fn_tt_tt_1
378, The Interpreter , 128, Color, Aboriginal, Aboriginal, PG-13, 80000000, 2005, 6.4, 2.35, http://www.imdb.com/title/tt0373926/?ref_=fn_tt_tt_1
158, Fun with Dick and Jane , 90, Color, English, English, PG-13, 100000000, 2005, 6.1, 2.35, http://www.imdb.com/title/tt0369441/?ref_=fn_tt_tt_1
418, Memoirs of a Geisha , 145, Color, English, English, PG-13, 85000000, 2005, 7.3, 2.35, http://www.imdb.com/title/tt0397535/?ref_=fn_tt_tt_1
392, Cinderella Man , 144, Color, English, English, PG-13, 88000000, 2005, 8.0, 2.35, http://www.imdb.com/title/tt0352248/?ref_=fn_tt_tt_1
237, Star Wars: Episode III - Revenge of the Sith , 140, Color, English, English, PG-13, 113000000, 2005, 7.6, 2.35, http://www.imdb.com/title/tt0121766/?ref_=fn_tt_tt_1
485, The Legend of Zorro , 129, Color, Spanish, Spanish, PG, 75000000, 2005, 5.9, 2.35, http://www.imdb.com/title/tt0386140/?ref_=fn_tt_tt_1
65, The Chronicles of Narnia: The Lion the Witch and the Wardrobe , 150, Color, English, English, PG, 180000000, 2005, 6.9, 2.35, http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1
